lat,lon,colony_int_name,colony_nat_name
62.436,5.874,Runde and Aalesund,Runde and Ålesund
69.065,15.170,Anda,Anda
74.503,18.956,Bear Island,Bjørnøya
69.635,18.848,Grindoya,Grindøya
71.113,24.732,Hjelmsoya,Hjelmsøya
60.668,4.749,Hordaland,Hordaland
70.383,31.150,Hornoya,Hornøya
78.253,15.508,Isfjorden,Isfjorden
70.921,-8.718,Jan Mayen,Jan Mayen
67.447,11.910,Rost,Røst
66.585,12.229,Selvaer,Selvær
65.320,11.630,Horsvaer,Horsvær
65.202,10.995,Sklinna,Sklinna
78.900,12.217,Kongsfjorden,Kongsfjorden
69.031,16.905,Lemmingsvaer,Lemmingsvær
70.358,21.398,Loppa,Loppa
58.008,7.368,Mandal and Lindesnes,Mandal and Lindesnes
79.585,18.459,Alkefjellet,Alkefjellet
59.150,5.174,Jarsteinen,Jarsteinen
65.081,-22.740,Breidafjordur,Breiðafjörður
65.004,-23.368,Melrakkaey,Melrakkaey
63.968,-22.221,Reykjanes,Reykjanes
66.180,-15.985,Langanes and Skjalfandi,Langanes and Skjálfandi
66.529,-17.992,Grimsey,Grímsey
65.707,-18.135,Eyjafjordur,Eyjafjörður
64.588,-14.172,Papey,Papey
61.950,-6.798,Faroe Islands,Føroyar
56.186,-2.558,Isle of May,Isle of May
59.142,-3.115,Eynhallow,Eynhallow
80.144,51.468,Franz Josef Land,Zemlya Frantsa-Iosifa
69.583,32.937,Cape Gorodetskiy,Gorodetskye ptich`i bazary
69.151,35.948,Cape Krutik,Mys Krutik
68.748,37.570,Seven Islands,Sem' Ostrovov
77.069,67.642,Oranskie Islands,Oranskie Ostrova
70.593,55.021,Cape Sakhanin,Mys Sakhanina
65.048,35.786,Solovetsky archipelago,Solovetskiye Ostrova
77.000,15.550,Hornsund,Hornsund
65.54,-13.78,Hafnarholmi,Hafnarhólmi
57.158259,9.025082,Bulbjerg,Bulbjerg
59.512853,-1.650526,Fair Isle,Fair Isle
64.1716,9.4078,Halten,Halten
73.716698,-56.6633301,Kippaku,Kippaku
55.29777,-6.28041,Rathlin,Rathlin
51.737687,-5.300236,Skomer,Skomer
69.8,-51.21,Ritenbenk,Ritenbenk
64.6522,-50.59185,Nuuk,Nuuk
70.68996946,23.5989887,Melkoya,Melkøya
