metalring_id,species,morph,subspecies,age,sex,sexing_method
1,Common guillemot,,,,male,dna
2,Brünnich's guillemot,,,,female,morphology
3,Little auk,,Alle alle alle,,unknown,behaviour
4,Little auk,,Alle alle polaris,,male,dna
5,Atlantic puffin,,,,female,morphology
6,Black-legged kittiwake,,,,unknown,behaviour
7,Northern fulmar,,,,male,dna
8,Lesser black-backed gull,,Larus fuscus intermedius,,female,morphology
9,Lesser black-backed gull,,Larus fuscus fuscus,,unknown,behaviour
10,Lesser black-backed gull,,Larus fuscus graellsii,,male,dna
11,Herring gull,,,,female,morphology
12,Glaucous gull,,,,unknown,behaviour
13,European shag,,,,male,dna
14,Common eider,,,,female,morphology
